COTIUSDT,0.04820000,727410.00000000,0.04830000,34082.00000000
BTCTUSD,29333.36000000,0.00227000,29333.99000000,0.00240000
BTCEUR,27221.34000000,0.09269000,27221.35000000,0.02686000
C98USDT,0.15950000,20278.70000000,0.15970000,8627.40000000
BUSDUSDT,1.00100000,2528606.00000000,1.00110000,2030931.00000000
BTCTRY,799120.00000000,0.01687000,799198.00000000,0.05000000
BTCARS,18094681.00000000,0.01743000,18152480.00000000,0.00536000
C98USDT,0.15960000,6482.80000000,0.15970000,8627.40000000
C98USDT,0.15950000,20278.70000000,0.15970000,10327.40000000
C98USDT,0.15950000,21978.70000000,0.15970000,8627.40000000
C98USDT,0.15960000,3133.80000000,0.15970000,8627.40000000
C98USDT,0.15950000,13539.20000000,0.15970000,10327.40000000
APTTRY,192.70000000,120.55000000,192.80000000,89.47000000
BTCGBP,24455.31000000,0.01111000,24462.89000000,0.00420000
ASTRUSDT,0.05620000,301519.40000000,0.05630000,88979.50000000
AGLDUSDT,0.60600000,7648.20000000,0.60700000,19201.80000000
BUSDUSDT,1.00100000,2528606.00000000,1.00110000,2031065.00000000
BTCUSDC,29301.37000000,0.60285000,29301.38000000,0.69316000
BTCGBP,24455.32000000,0.00085000,24462.89000000,0.00420000
AVAXBUSD,12.38000000,349.11000000,12.39000000,1395.37000000
BTCTUSD,29333.35000000,0.02472000,29333.98000000,0.00587000
BTCGBP,24455.31000000,0.01225000,24462.89000000,0.00420000
BTCUSDC,29301.37000000,0.60285000,29301.38000000,0.70516000
BTCARS,18094681.00000000,0.01704000,18147745.00000000,0.00536000
BATUSDT,0.21880000,11221.00000000,0.21890000,115.00000000
BNBDOWNUSDT,0.01528000,43195.90000000,0.01531000,9823.26000000
BNBDOWNUSDT,0.01528000,21597.95000000,0.01531000,9823.26000000
BTCARS,18094681.00000000,0.01704000,18147745.00000000,0.00497000
ALGOUSDT,0.11180000,110201.00000000,0.11190000,359984.00000000
BTCUSDT,29335.01000000,6.61207000,29335.02000000,20.54545000
BTCBRL,144245.00000000,0.00104000,144259.00000000,0.00568000
BTCBRL,144244.00000000,0.00370000,144259.00000000,0.02062000
BTCBRL,144245.00000000,0.00104000,144259.00000000,0.02062000
BTCBRL,144244.00000000,0.00370000,144258.00000000,0.00219000
BTCEUR,27221.34000000,0.11181000,27221.35000000,0.02686000
ASTRUSDT,0.05620000,400725.80000000,0.05630000,88979.50000000
ADADOWNUSDT,0.00167600,800799.23000000,0.00167700,292954.23000000
ADADOWNUSDT,0.00167600,800799.23000000,0.00167800,313791.88000000
CFXBTC,0.00000605,21866.00000000,0.00000606,9878.00000000
BTCTUSD,29333.36000000,0.31796000,29334.78000000,0.04329000
CFXBTC,0.00000605,22991.00000000,0.00000606,9878.00000000
BTCTUSD,29333.36000000,0.19643000,29334.79000000,0.00068000
BTCTUSD,29333.35000000,0.02472000,29334.79000000,0.00068000
BTCTUSD,29333.35000000,0.02472000,29334.19000000,0.00377000
BTCTUSD,29333.36000000,0.26126000,29334.78000000,0.04329000
BTCUSDT,29335.01000000,6.74723000,29335.02000000,20.54545000
BTCTUSD,29333.40000000,0.17846000,29334.79000000,0.00068000
BTCTUSD,29333.37000000,0.05562000,29334.78000000,0.04329000
ASTRBUSD,0.05610000,3552.30000000,0.05620000,2525.30000000
ASTRUSDT,0.05620000,301519.40000000,0.05630000,107331.60000000
ASTRUSDT,0.05620000,400725.80000000,0.05630000,80090.70000000
ASTRUSDT,0.05620000,400725.80000000,0.05630000,98442.80000000
ASTRUSDT,0.05620000,400725.80000000,0.05630000,107331.60000000
ASTRUSDT,0.05620000,301519.40000000,0.05630000,88979.50000000
BTCTUSD,29333.37000000,0.02727000,29334.78000000,0.04329000
BTCTUSD,29333.41000000,0.10406000,29334.79000000,0.00068000
BTCTUSD,29333.36000000,0.26126000,29334.79000000,0.00068000
BTCTUSD,29333.39000000,0.00494000,29334.78000000,0.04329000
BTCTUSD,29333.39000000,0.00494000,29334.79000000,0.00068000
BTCTUSD,29333.40000000,0.15720000,29334.79000000,0.00068000
BTCUSDT,29335.01000000,6.74723000,29335.02000000,20.54545000
BTCTUSD,29333.41000000,0.03923000,29334.79000000,0.00068000
BTCTUSD,29333.49000000,0.07860000,29334.79000000,0.00068000
BTCUSDT,29335.01000000,6.61207000,29335.02000000,20.54545000
BTCTUSD,29333.45000000,0.11624000,29334.79000000,0.00068000
BTCTUSD,29333.42000000,0.16960000,29334.79000000,0.00068000
BTCTUSD,29333.46000000,0.15720000,29334.79000000,0.00068000
CFXBTC,0.00000605,25409.00000000,0.00000606,9878.00000000
BTCTUSD,29333.44000000,0.15720000,29334.79000000,0.00068000
BTCTUSD,29333.43000000,0.03923000,29334.79000000,0.00068000
BTCTUSD,29333.41000000,0.11469000,29334.79000000,0.00068000
BTCTUSD,29333.47000000,0.26126000,29334.79000000,0.00068000
CFXBTC,0.00000605,26534.00000000,0.00000606,9878.00000000
BTCTUSD,29333.48000000,0.07860000,29334.79000000,0.00068000
BTCTUSD,29333.48000000,0.08588000,29334.79000000,0.00068000
BTCTUSD,29333.44000000,0.18157000,29334.79000000,0.00068000
BTCTUSD,29333.47000000,0.06483000,29334.79000000,0.00068000
BTCTUSD,29333.45000000,0.07791000,29334.79000000,0.00068000
BTCTUSD,29333.45000000,0.03923000,29334.79000000,0.00068000
BTCTUSD,29333.46000000,0.02727000,29334.79000000,0.00068000
BTCTUSD,29333.45000000,0.10406000,29334.79000000,0.00068000
BTCBRL,144244.00000000,0.00370000,144257.00000000,0.00568000
BTCTUSD,29333.47000000,0.19643000,29334.79000000,0.00068000
BTCTUSD,29333.42000000,0.15720000,29334.79000000,0.00068000
BTCTUSD,29333.45000000,0.11714000,29334.79000000,0.00068000
BTCTUSD,29333.49000000,0.10587000,29334.79000000,0.00068000
BTCTUSD,29333.53000000,0.07860000,29334.79000000,0.00068000
BTCTUSD,29333.50000000,0.12807000,29334.79000000,0.00068000
BTCTUSD,29333.52000000,0.12919000,29334.79000000,0.00068000
BTCTUSD,29333.49000000,0.10587000,29334.79000000,0.00068000
BTCTUSD,29333.50000000,0.11783000,29334.79000000,0.00068000
BTCTUSD,29333.52000000,0.11783000,29334.79000000,0.00068000
BTCTUSD,29333.49000000,0.14510000,29334.79000000,0.00068000
BTCTUSD,29333.51000000,0.07860000,29334.79000000,0.00068000
AGIXUSDT,0.21141000,1546.00000000,0.21143000,368.00000000
ASTRUSDT,0.05620000,306103.80000000,0.05630000,88979.50000000
ASTRUSDT,0.05620000,320637.20000000,0.05630000,88979.50000000
BTCTUSD,29333.53000000,0.08428000,29334.79000000,0.00068000
BTCTUSD,29333.53000000,0.04852000,29334.79000000,0.00068000
BTCTUSD,29333.57000000,0.19643000,29334.79000000,0.00068000
BTCTUSD,29333.56000000,0.22370000,29334.79000000,0.00068000
BTCTUSD,29333.56000000,0.19643000,29334.79000000,0.00068000
BTCTUSD,29333.56000000,0.30230000,29334.79000000,0.00068000
BTCTUSD,29333.54000000,0.20706000,29334.79000000,0.00068000
BTCTUSD,29333.53000000,0.09985000,29334.79000000,0.00068000
BTCTUSD,29333.56000000,0.03790000,29334.79000000,0.00068000
BTCTUSD,29333.56000000,0.11650000,29334.79000000,0.00068000
BTCTUSD,29333.55000000,0.19643000,29334.79000000,0.00068000
BTCTUSD,29333.61000000,0.21971000,29334.79000000,0.00068000
BTCTUSD,29333.54000000,0.11783000,29334.79000000,0.00068000
BTCTUSD,29333.65000000,0.19643000,29334.79000000,0.00068000
BTCTUSD,29333.55000000,0.01555000,29334.79000000,0.00068000
BTCTUSD,29333.54000000,0.01063000,29334.79000000,0.00068000
BTCTUSD,29333.57000000,0.21311000,29334.79000000,0.00068000
BTCTUSD,29333.56000000,0.10587000,29334.79000000,0.00068000
BTCTUSD,29333.63000000,0.22209000,29334.79000000,0.00068000
BTCTUSD,29333.53000000,0.12712000,29334.79000000,0.00068000
BTCTUSD,29333.58000000,0.01118000,29334.79000000,0.00068000
BTCTUSD,29333.62000000,0.02060000,29334.79000000,0.00068000
BTCTUSD,29333.60000000,0.05249000,29334.79000000,0.00068000
BTCTUSD,29333.60000000,0.03324000,29334.79000000,0.00068000
BTCTUSD,29333.64000000,0.02784000,29334.79000000,0.00068000
BTCTUSD,29333.63000000,0.19643000,29334.79000000,0.00068000
BTCTUSD,29333.61000000,0.22644000,29334.79000000,0.00068000
BTCTUSD,29333.61000000,0.19643000,29334.79000000,0.00068000
BTCTUSD,29333.67000000,0.03584000,29334.79000000,0.00068000
BTCTUSD,29333.66000000,0.02781000,29334.79000000,0.00068000
BTCTUSD,29333.65000000,0.22065000,29334.79000000,0.00068000
BTCTUSD,29333.64000000,0.05511000,29334.79000000,0.00068000
BTCTUSD,29333.65000000,0.22638000,29334.79000000,0.00068000
BTCTUSD,29333.60000000,0.02727000,29334.79000000,0.00068000
BTCTUSD,29333.66000000,0.01498000,29334.79000000,0.00068000
BTCTUSD,29333.58000000,0.05191000,29334.79000000,0.00068000
BTCTUSD,29333.59000000,0.21938000,29334.79000000,0.00068000
BTCTUSD,29333.73000000,0.02672000,29334.79000000,0.00068000
BTCUSDT,29335.01000000,6.61207000,29335.02000000,20.54545000
BTCTUSD,29333.71000000,0.02444000,29334.79000000,0.00068000
BTCTUSD,29333.59000000,0.21407000,29334.79000000,0.00068000
BTCTUSD,29333.71000000,0.03748000,29334.79000000,0.00068000
BTCTUSD,29333.69000000,0.03357000,29334.79000000,0.00068000
BTCTUSD,29333.72000000,0.04975000,29334.79000000,0.00068000
BTCTUSD,29333.66000000,0.05508000,29334.79000000,0.00068000
BTCTUSD,29333.69000000,0.02608000,29334.79000000,0.00068000
BTCTUSD,29333.62000000,0.04787000,29334.79000000,0.00068000
BTCTUSD,29333.59000000,0.19643000,29334.79000000,0.00068000
BTCTUSD,29333.66000000,0.05598000,29334.79000000,0.00068000
BTCTUSD,29333.76000000,0.00100000,29334.74000000,0.02706000
BTCTUSD,29333.70000000,0.02721000,29334.79000000,0.00068000
BTCTUSD,29333.76000000,0.00100000,29334.77000000,0.00339000
BTCTUSD,29333.72000000,0.02248000,29334.79000000,0.00068000
BTCTUSD,29333.76000000,0.00100000,29334.76000000,0.02165000
BTCTUSD,29333.58000000,0.03845000,29334.79000000,0.00068000
BTCTUSD,29333.67000000,0.02086000,29334.79000000,0.00068000
BTCTUSD,29333.70000000,0.05823000,29334.79000000,0.00068000
BTCTUSD,29333.68000000,0.04519000,29334.79000000,0.00068000
BTCTUSD,29333.78000000,0.01610000,29334.75000000,0.01082000
BTCTUSD,29333.77000000,0.02516000,29334.76000000,0.02165000
BTCTUSD,29333.76000000,0.00100000,29334.76000000,0.02165000
BTCTUSD,29333.74000000,0.05937000,29334.79000000,0.00068000
BTCTUSD,29333.70000000,0.05448000,29334.79000000,0.00068000
BTCTUSD,29333.66000000,0.06990000,29334.79000000,0.00068000
BTCTUSD,29333.74000000,0.03210000,29334.79000000,0.00068000
BTCTUSD,29333.76000000,0.00100000,29334.75000000,0.01082000
BTCTUSD,29333.75000000,0.00090000,29334.79000000,0.00068000
BTCTUSD,29333.76000000,0.00100000,29334.75000000,0.03247000
BTCNGN,26978810.00000000,0.00002000,27038175.00000000,0.06816000
BTCTUSD,29333.66000000,0.00090000,29334.79000000,0.00068000
BTCTUSD,29333.74000000,0.02727000,29334.79000000,0.00068000
BTCTUSD,29333.76000000,0.02727000,29334.77000000,0.00339000
BTCTUSD,29333.76000000,0.00100000,29334.74000000,0.01623000
BTCTUSD,29333.68000000,0.05268000,29334.79000000,0.00068000
BTCTUSD,29333.75000000,0.00090000,29334.77000000,0.00339000
BTCTUSD,29333.78000000,0.01610000,29334.75000000,0.03247000
BTCTUSD,29333.68000000,0.02727000,29334.79000000,0.00068000
BTCTUSD,29333.76000000,0.02827000,29334.77000000,0.00339000
BTCTUSD,29333.76000000,0.00100000,29334.70000000,0.03078000
BTCTUSD,29333.77000000,0.02118000,29334.78000000,0.02934000
BTCTUSD,29333.76000000,0.00100000,29334.72000000,0.02300000
BTCTUSD,29333.76000000,0.00100000,29334.79000000,0.00068000
BTCTUSD,29333.77000000,0.02118000,29334.69000000,0.02790000
BTCTUSD,29333.76000000,0.00100000,29334.73000000,0.01353000
BTCTUSD,29333.76000000,0.00100000,29334.69000000,0.02790000
BTCTUSD,29333.76000000,0.00100000,29334.71000000,0.02503000
BTCTRY,799120.00000000,0.01687000,799191.00000000,0.00420000
BTCTUSD,29333.76000000,0.00010000,29334.79000000,0.00068000
BTCTUSD,29333.77000000,0.02118000,29334.68000000,0.01467000
BTCTUSD,29333.77000000,0.02118000,29334.79000000,0.00068000
BTCTUSD,29333.76000000,0.00010000,29334.76000000,0.03265000
BTCTUSD,29333.77000000,0.02118000,29334.77000000,0.02129000
BTCTRY,799120.00000000,0.01687000,799190.00000000,0.05000000
ASTRUSDT,0.05620000,400939.40000000,0.05630000,88979.50000000
BELUSDT,0.65240000,1045.20000000,0.65260000,553.20000000
BTCTUSD,29333.75000000,0.00090000,29334.70000000,0.10000000
BTCTUSD,29333.60000000,0.00597000,29334.65000000,0.02798000
BTCTUSD,29333.76000000,0.00010000,29334.76000000,0.13265000
BTCTUSD,29333.75000000,0.00090000,29334.66000000,0.11999000
BTCTUSD,29333.75000000,0.00090000,29334.66000000,0.14726000
BTCTUSD,29333.75000000,0.00090000,29334.72000000,0.10000000
BTCTUSD,29333.75000000,0.00090000,29334.73000000,0.02502000
BTCTUSD,29333.75000000,0.00090000,29334.68000000,0.14856000
BTCTUSD,29333.75000000,0.00090000,29334.65000000,0.01733000
BTCTUSD,29333.75000000,0.00090000,29334.76000000,0.13265000
BTCTUSD,29333.75000000,0.00090000,29334.75000000,0.01348000
BTCTUSD,29333.75000000,0.00090000,29334.71000000,0.02790000
BTCTUSD,29333.60000000,0.00597000,29334.65000000,0.01733000
BTCTUSD,29333.75000000,0.00090000,29334.67000000,0.01064000
BTCTUSD,29333.75000000,0.00090000,29334.74000000,0.02307000
BTCTUSD,29333.75000000,0.00090000,29334.69000000,0.03066000
BTCTUSD,29333.75000000,0.00090000,29334.68000000,0.10000000
BTCTUSD,29333.75000000,0.00090000,29334.71000000,0.01539000
BTCTUSD,29333.75000000,0.00090000,29334.72000000,0.13078000
