symbol,bid,ask,24h volume($),status
IRISBTC,0.00000056,0.00000057,0.98,Trading
BICOBTC,0.00000670,0.00000672,0.98,Trading
CVXBTC,0.00008280,0.00008330,0.97,Trading
GNSBTC,0.00011210,0.00011280,0.96,Trading
BNXBTC,0.00000784,0.00000790,0.96,Trading
ALCXBTC,0.00038980,0.00039330,0.89,Trading
SANTOSBTC,0.00007984,0.00008045,0.88,Trading
NULSBTC,0.00000552,0.00000557,0.88,Trading
OSMOBTC,0.00000745,0.00000748,0.87,Trading
LAZIOBTC,0.00005045,0.00005085,0.79,Trading
PORTOBTC,0.00004862,0.00004899,0.77,Trading
FARMBTC,0.00071700,0.00072300,0.68,Trading
POLSBTC,0.00000862,0.00000868,0.68,Trading
FIOBTC,0.00000059,0.00000060,0.67,Trading
MOVRBTC,0.00011870,0.00011960,0.65,Trading
CITYBTC,0.00008120,0.00008210,0.55,Trading
ORNBTC,0.00001546,0.00001558,0.55,Trading
ALPINEBTC,0.00004860,0.00004887,0.54,Trading
PSGBTC,0.00008520,0.00008610,0.46,Trading
BALBTC,0.00009830,0.00009920,0.44,Trading
