symbol,bid,ask,24h volume($),status
ASTRBTC,0.00000147,0.00000148,16.05,Trading
ZILETH,0.00001021,0.00001026,16.02,Trading
AGLDBTC,0.00002752,0.00002766,15.99,Trading
APEBTC,0.00003589,0.00003594,15.56,Trading
STRAXBTC,0.00002149,0.00002155,15.48,Trading
EGLDBTC,0.00084500,0.00084700,15.48,Trading
SANDETH,0.00018180,0.00018220,15.29,Trading
COMPBTC,0.00135300,0.00135500,14.98,Trading
OAXBTC,0.00000546,0.00000548,14.60,Trading
GMTETH,0.00009060,0.00009110,14.54,Trading
KAVAETH,0.00035000,0.00035160,14.30,Trading
LQTYBTC,0.00004740,0.00004749,14.26,Trading
SNTETH,0.00001565,0.00001578,13.05,Trading
CTKBTC,0.00001383,0.00001392,12.85,Trading
QKCBTC,0.00000029,0.00000030,12.75,Trading
ARPAETH,0.00002556,0.00002572,12.70,Trading
SUSHIBNB,0.00266100,0.00268100,12.60,Trading
API3BTC,0.00003544,0.00003549,12.51,Trading
MCBTC,0.00001384,0.00001388,12.38,Trading
DASHBTC,0.00082400,0.00082500,12.37,Trading
HIFIETH,0.00029270,0.00029490,12.29,Trading
SEIBTC,0.00000321,0.00000323,12.28,Trading
GRTBTC,0.00000269,0.00000270,12.25,Trading
THETABTC,0.00001947,0.00001948,11.77,Trading
XTZBTC,0.00002080,0.00002082,11.59,Trading
ICPETH,0.00199200,0.00200200,11.44,Trading
THETAETH,0.00036990,0.00037220,10.52,Trading
LINABTC,0.00000029,0.00000030,10.48,Trading
BETAETH,0.00003516,0.00003550,10.28,Trading
GALABTC,0.00000044,0.00000045,10.20,Trading
TOMOBTC,0.00004978,0.00004990,10.20,Trading
ZECBTC,0.00080900,0.00081000,10.04,Trading
ACHBTC,0.00000046,0.00000047,10.04,Trading
LDOBTC,0.00005292,0.00005297,9.89,Trading
1INCHBTC,0.00000835,0.00000836,9.88,Trading
KNCBTC,0.00002175,0.00002179,9.70,Trading
AUCTIONBTC,0.00018770,0.00018850,9.64,Trading
CYBERBTC,0.00013860,0.00013904,9.00,Trading
CRVBTC,0.00001405,0.00001408,8.96,Trading
LSKETH,0.00051800,0.00052500,8.94,Trading
YGGBTC,0.00000814,0.00000815,8.71,Trading
IOTXBTC,0.00000059,0.00000060,8.70,Trading
IOSTBTC,0.00000023,0.00000024,8.65,Trading
BANDBTC,0.00004405,0.00004423,8.53,Trading
OCEANBTC,0.00000931,0.00000933,8.51,Trading
AMBBTC,0.00000024,0.00000025,8.46,Trading
BONDBTC,0.00011140,0.00011220,8.44,Trading
ONEBTC,0.00000032,0.00000033,8.44,Trading
DEXEETH,0.00124500,0.00125700,8.30,Trading
CAKEBTC,0.00003516,0.00003523,8.26,Trading
PUNDIXETH,0.00022720,0.00022910,8.00,Trading
BADGERBTC,0.00007140,0.00007170,7.85,Trading
BNTBTC,0.00001682,0.00001684,7.82,Trading
CYBERETH,0.00263600,0.00264900,7.63,Trading
CLVBTC,0.00000098,0.00000099,7.54,Trading
ENJBTC,0.00000694,0.00000696,7.48,Trading
PEOPLEBTC,0.00000034,0.00000035,7.38,Trading
ARKMBTC,0.00001024,0.00001027,7.34,Trading
ROSEBTC,0.00000139,0.00000140,7.30,Trading
KMDBTC,0.00000664,0.00000671,7.19,Trading
ALPACABTC,0.00000522,0.00000525,7.17,Trading
TWTBTC,0.00003135,0.00003140,7.15,Trading
VIBBTC,0.00000170,0.00000171,7.04,Trading
FLMBTC,0.00000229,0.00000231,6.97,Trading
NTRNBTC,0.00000809,0.00000811,6.91,Trading
RVNBTC,0.00000046,0.00000047,6.74,Trading
YFIBTC,0.16960000,0.16990000,6.73,Trading
DUSKBTC,0.00000366,0.00000367,6.57,Trading
PYRBTC,0.00010030,0.00010100,6.54,Trading
KDABTC,0.00001433,0.00001434,6.50,Trading
LRCBTC,0.00000554,0.00000556,6.49,Trading
SSVBTC,0.00041370,0.00041500,6.44,Trading
IDBTC,0.00000575,0.00000576,6.38,Trading
SCRTBTC,0.00000827,0.00000829,6.27,Trading
QTUMETH,0.00136600,0.00137800,6.18,Trading
RDNTBTC,0.00000673,0.00000674,6.09,Trading
GMXBTC,0.00118200,0.00118500,5.82,Trading
ANTBTC,0.00014946,0.00014964,5.74,Trading
IOTABTC,0.00000447,0.00000449,5.73,Trading
GMTBTC,0.00000476,0.00000477,5.69,Trading
MDTBTC,0.00000129,0.00000130,5.65,Trading
CHRBTC,0.00000301,0.00000302,5.57,Trading
SYSBTC,0.00000259,0.00000261,5.52,Trading
DIABTC,0.00000748,0.00000753,5.51,Trading
LSKBTC,0.00002726,0.00002744,5.47,Trading
FORBTC,0.00000056,0.00000058,5.43,Trading
TFUELBTC,0.00000108,0.00000109,5.42,Trading
WOOBTC,0.00000612,0.00000614,5.39,Trading
ICPBTC,0.00010470,0.00010490,5.35,Trading
SNXBTC,0.00006650,0.00006670,5.25,Trading
ZRXBTC,0.00000686,0.00000689,5.21,Trading
REQBTC,0.00000211,0.00000213,4.92,Trading
